awd_id,fiscal_year,awd_amount,dir_abbr,div_abbr,inst_name,code,inst_state_name,tot_intn_awd_amt,diff,state
1744844,2021,131876.0,GEO,OPP,Berkeley Geochronology Center,CA,California,131876.0,0.0,California
1744850,2021,125730.0,GEO,OPP,Pacific Lutheran University,WA,Washington,125730.0,0.0,Washington
1744865,2021,116342.0,GEO,OPP,University of Maine,ME,Maine,99742.0,-16600.0,Maine
1906383,2021,22222678.0,MPS,DMR,Montana State University,MT,Montana,19990000.0,-2232678.0,Montana
1910284,2021,484828.0,CSE,IIS,University of Arkansas,AR,Arkansas,484828.0,0.0,Arkansas
1940975,2021,947500.0,BIO,IOS,Brown University,RI,Rhode Island,900000.0,-47500.0,Rhode Island
1941292,2021,157463.0,GEO,OPP,College of William & Mary Virginia Institute of Marine Science,VA,Virginia,157463.0,0.0,Virginia
1941304,2021,508563.0,GEO,OPP,Rutgers University New Brunswick,NJ,New Jersey,496063.0,-12500.0,New Jersey
1941308,2021,252830.0,GEO,OPP,Texas A&M University,TX,Texas,252830.0,0.0,Texas
1941327,2021,153987.0,GEO,OPP,University of Colorado at Boulder,CO,Colorado,153987.0,0.0,Colorado
1941483,2021,803694.0,GEO,OPP,University of Georgia Research Foundation Inc,GA,Georgia,803694.0,0.0,Georgia
1943606,2021,1000000.0,BIO,IOS,University of California-San Diego Scripps Inst of Oceanography,CA,California,1000000.0,0.0,California
1945971,2021,299999.0,BIO,DBI,"OHIO STATE UNIVERSITY, THE",OH,Ohio,299999.0,0.0,Ohio
1946578,2021,52276540.0,GEO,OCE,Monterey Bay Aquarium Research Institute,CA,California,52942749.0,666209.0,California
1946970,2021,39723283.0,BIO,DBI,University of Connecticut Health Center,CT,Connecticut,39723283.0,0.0,Connecticut
1946998,2021,32694898.0,MPS,DMR,Cornell University,NY,New York,32694899.0,1.0,New York
1947050,2021,41946862.0,ENG,ECCS,University of California-San Diego,CA,California,39467441.0,-2479421.0,California
1947562,2021,1411419.0,GEO,OPP,Texas Tech University,TX,Texas,1411419.0,0.0,Texas
1949467,2021,694416.0,SBE,SES,The New School,NY,New York,646716.0,-47700.0,New York
1949989,2021,600000.0,BIO,IOS,SUNY at Buffalo,NY,New York,600000.0,0.0,New York
1951812,2021,482903.0,GEO,EAR,University of Wisconsin-Madison,WI,Wisconsin,482903.0,0.0,Wisconsin
1951835,2021,301854.0,GEO,EAR,Northwestern University,IL,Illinois,301854.0,0.0,Illinois
1951927,2021,150000.0,CSE,CNS,PECAN STREET INC.,TX,Texas,150000.0,0.0,Texas
1952072,2021,300000.0,O/D,OISE,Yale University,CT,Connecticut,300000.0,0.0,Connecticut
1952346,2021,191335.0,GEO,EAR,Boise State University,ID,Idaho,191335.0,0.0,Idaho
1953648,2021,599796.0,ENG,EEC,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,Nevada,599796.0,0.0,Nevada
1954059,2021,360000.0,MPS,DMS,University of Washington,WA,Washington,360000.0,0.0,Washington
1954241,2021,918722.0,GEO,OPP,University of Alaska Fairbanks Campus,AK,Alaska,918722.0,0.0,Alaska
1954556,2021,5236000.0,CSE,CNS,Iowa State University,IA,Iowa,5000000.0,-236000.0,Iowa
1954929,2021,675000.0,BIO,IOS,University of California-Davis,CA,California,675000.0,0.0,California
1954983,2021,457493.0,GEO,AGS,University of New Hampshire,NH,New Hampshire,381245.0,-76248.0,New Hampshire
2000902,2021,124810.0,EDU,DUE,Pittsburgh Technical Institute,PA,Pennsylvania,359995.0,235185.0,Pennsylvania
2001181,2021,330000.0,MPS,DMR,Princeton University,NJ,New Jersey,330000.0,0.0,New Jersey
2001333,2021,460000.0,MPS,DMR,Texas A&M Engineering Experiment Station,TX,Texas,460000.0,0.0,Texas
2001749,2021,225000.0,TIP,TI,SARKAR-KLEIN-LABS,CO,Colorado,225000.0,0.0,Colorado
2001980,2021,240000.0,MPS,DMR,Prairie View A & M University,TX,Texas,240000.0,0.0,Texas
2002287,2021,50000.0,TIP,TI,Syracuse University,NY,New York,50000.0,0.0,New York
2002635,2021,296379.0,ENG,CBET,University of Minnesota-Twin Cities,MN,Minnesota,238000.0,-58379.0,Minnesota
2002836,2021,320224.0,ENG,CBET,Georgia Tech Research Corporation,GA,Georgia,282000.0,-38224.0,Georgia
2002980,2021,505288.0,MPS,DMR,Colorado State University,CO,Colorado,498088.0,-7200.0,Colorado
2003405,2021,485436.0,MPS,DMR,Florida State University,FL,Florida,485436.0,0.0,Florida
2003444,2021,339000.0,MPS,DMR,Columbia University,NY,New York,339000.0,0.0,New York
2004288,2021,488837.0,MPS,DMR,Regents of the University of Michigan - Ann Arbor,MI,Michigan,428481.0,-60356.0,Michigan
2004691,2021,600000.0,MPS,DMR,Columbia University,NY,New York,600000.0,0.0,New York
2005212,2021,550000.0,MPS,DMR,University of Colorado at Boulder,CO,Colorado,550000.0,0.0,Colorado
2005269,2021,225000.0,TIP,TI,SOUTH BEND WOODWORKS LLC,IN,Indiana,225000.0,0.0,Indiana
2005749,2021,670000.0,MPS,DMR,University of Pennsylvania,PA,Pennsylvania,670000.0,0.0,Pennsylvania
2005869,2021,285526.0,EDU,DRL,The Peregrine Fund,ID,Idaho,285526.0,0.0,Idaho
2006410,2021,200000.0,MPS,DMS,Auburn University,AL,Alabama,200000.0,0.0,Alabama
2006446,2021,414000.0,MPS,DMR,Wayne State University,MI,Michigan,414000.0,0.0,Michigan
