,Year,awardeeName,Number of Grants
0,2015,Arizona State University,79
1,2015,Harvard University,52
2,2015,Regents of the University of Michigan - Ann Arbor,148
3,2015,University of California-Los Angeles,77
4,2015,University of Colorado Boulder,75
5,2016,Arizona State University,109
6,2016,Harvard University,57
7,2016,Regents of the University of Michigan - Ann Arbor,167
8,2016,University of California-Los Angeles,90
9,2016,University of Colorado Boulder,126
10,2017,Arizona State University,125
11,2017,Harvard University,77
12,2017,Regents of the University of Michigan - Ann Arbor,153
13,2017,University of California-Los Angeles,91
14,2017,University of Colorado Boulder,117
15,2018,Arizona State University,115
16,2018,Harvard University,68
17,2018,Regents of the University of Michigan - Ann Arbor,155
18,2018,University of California-Los Angeles,105
19,2018,University of Colorado Boulder,135
20,2019,Arizona State University,104
21,2019,Harvard University,78
22,2019,Regents of the University of Michigan - Ann Arbor,178
23,2019,University of California-Los Angeles,94
24,2019,University of Colorado Boulder,108
25,2020,Arizona State University,102
26,2020,Harvard University,66
27,2020,Regents of the University of Michigan - Ann Arbor,165
28,2020,University of California-Los Angeles,115
29,2020,University of Colorado Boulder,117
30,2021,Arizona State University,109
31,2021,Harvard University,62
32,2021,Regents of the University of Michigan - Ann Arbor,136
33,2021,University of California-Los Angeles,70
34,2021,University of Colorado Boulder,131
35,2022,Arizona State University,118
36,2022,Harvard University,51
37,2022,Regents of the University of Michigan - Ann Arbor,150
38,2022,University of California-Los Angeles,120
39,2022,University of Colorado Boulder,142
40,2023,Arizona State University,118
41,2023,Harvard University,59
42,2023,Regents of the University of Michigan - Ann Arbor,162
43,2023,University of California-Los Angeles,79
44,2023,University of Colorado Boulder,100
45,2024,Arizona State University,138
46,2024,Harvard University,41
47,2024,Regents of the University of Michigan - Ann Arbor,169
48,2024,University of California-Los Angeles,77
49,2024,University of Colorado Boulder,86
50,2025,Arizona State University,84
51,2025,Harvard University,12
52,2025,Regents of the University of Michigan - Ann Arbor,127
53,2025,University of California-Los Angeles,54
54,2025,University of Colorado Boulder,89
