awardeeName,count_total,total_obligated_funds
"123 SEE, INC.",1,1000000
18F GSA,1,250000
"2KR SYSTEMS, LLC",2,2000000
"37DEGREES, INC.",1,295000
"4-D AVIONIC SYSTEMS, LLC",1,999919
"ACADEMIC WEB PAGES, INC.",1,286418
"ACTIVATE GLOBAL, INC.",1,24000000
ADAPTIVE WAVES INC.,2,1997884
ADAVANCE NANOLYTICS INC,1,275000
ADVANCED CARPET RECYCLING LLC,1,275000
"AERHART, LLC",2,549998
"AERIS WATER TECHNOLOGIES, LLC",1,304996
"AEROSHIELD MATERIALS, INC.",2,2999998
AI POW LLC,1,1000000
AI-NEOTECH LLC,1,275000
"AIDAR HEALTH, INC",1,1000000
AIKIDO TECHNOLOGIES INC,1,275000
"AIR COMPANY HOLDINGS, INC.",1,1497742
"AKORN TECHNOLOGY, INC.",1,1582069
"AKTTYVA THERAPEUTICS, INC.",2,1999756
ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College,1,1249995
ALASKA CONSERVATION FOUNDATION,2,440198
"ALERJE, INC.",1,1199997
"ALVA HEALTH, INC.",2,3000000
"AMBOTS, INC.",1,1699571
AMHYTECH LLC,1,274127
"AMPHIX BIO, INC.",1,1000000
"ANEURISK, INC.",1,275000
"ANOVA BIOMEDICAL, INC.",1,274811
ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,2,340666
ANVIL DIAGNOSTICS INC.,1,298646
"APOGEE SEMICONDUCTOR, INC.",1,999561
APPLIED SCIENCE & TECHNOLOGY ORGANIZATION OF AMERICA CORP,1,999996
"AQUAGGA, INC.",1,1495270
"AQUAVEO, LLC",1,1456017
ARCLET LLC,1,274920
ARED LLC,2,550000
ARTEMIS INTELLIGENCE LLC,1,1168047
ARTIMUS ROBOTICS INC,1,955030
ASANTE BIO LLC,1,979298
"ASPERO MEDICAL, INC.",1,1499934
"ASTROLABE ANALYTICS, INC.",1,1197313
ATHEM L.L.C.,2,1999996
ATLAS AI P.B.C.,1,1473684
"ATMOSPHERIC & SPACE TECHNOLOGY RESEARCH ASSOCIATES, L.L.C.",4,1555540
ATOM BIOWORKS INC,1,998507
ATRILITY MEDICAL LLC,1,275000
"AUDIOT, INC.",2,590000
"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC.",13,5668536
AUXILIUM HEALTH INC,2,550000
"AVANPORE, LLC",1,275000
"AVICENATECH, CORP.",1,1486279
Aaniiih Nakoda College,6,6404202
"Abdelrahman, Mustafa Kamal",2,600000
"Abrishami, Tara",1,190000
Academy of Natural Sciences Philadelphia,7,1795287
"Accelerate Wind, Inc.",2,3462546
Adams State University,3,3617304
Adelphi University,5,4621636
"Adhikari, Arka",1,150000
Adler Planetarium,1,276648
"Advanced Cooling Technologies, Inc.",1,200000
Aerodyne Research Inc,2,241962
Aerospace Corporation,6,2542162
Afsartech Inc.,2,549734
Agnes Scott College,5,2124994
"Agrawal, Devanshu",1,150000
"AgroSpheres, Inc.",2,2996150
"Agwamba, Kennedy",2,480000
Air Force Institute of Tech,4,630765
"Ajala, Rasheed",1,180000
"Akanocure Pharmaceuticals, Inc.",2,2000000
"Akopyan, Maria",2,480000
"Alaasam, Valentina",1,240000
Alabama A&M University,30,19491977
Alabama State University,15,6715259
Alamo Community College District Northeast Lakeview College,2,189606
Alaska Native Tribal Health Consortium,1,199991
Alaska Pacific University,3,3283382
Albany College of Pharmacy,2,799868
Albany State University,10,11254952
Albert Einstein College of Medicine,2,318000
Albion College,1,399628
"Albright, John A",1,180000
"Alchemie Solutions, Inc.",1,1199623
Alcorn State University,1,337011
Alfred University,5,1530762
Algebra Project Inc,1,1072633
Allan Hancock College,1,1499686
Allegheny College,1,139073
Allen Institute,2,977450
"Allen, Matthew L",1,180000
"Allen, Raymond Lance",1,240000
Alma College,1,203119
"Alvear, Oscar Enrique",1,133751
Alvernia University,2,800000
"Alweiss, Ryan",1,190000
Amarillo College,1,240392
American Association for the Advancement of Science,11,92902327
American Association of Community Colleges,3,17478067
American Association of Physics Teachers,4,4503207
American Astronomical Society,1,374671
American Bar Foundation,4,895672
American Chemical Society (ACS),1,2355774
American Educational Research Association,2,6447001
American Geological Institute,2,978610
American Geophysical Union,2,2071282
American Indian Higher Education Consortium,4,1525147
American Indian Science and Engineering Society (AISES),5,6632960
American Institute of Chemical Engineers,7,268905
American Institute of Mathematics,3,17507170
American Institutes for Research in the Behavioral Sciences,16,17579020
American Mathematical Association of Two-Year College,1,1859883
American Mathematical Society,3,834812
American Meteorological Society,4,997926
American Modeling Teachers Association,2,1375922
American Museum Natural History,35,22566007
American Physical Society,8,12858591
American Political Science Association,1,1417972
