,id,awardeeName,awardeeStateCode,startDate,expDate,title,abstractText,fundsObligatedAmt,fundsObligatedAmt,org_state_full,awardeeName_norm
26213,2243110,Michigan State University,MI,2023-07-01,2026-06-30,manufacturing of high efficiency perovskite solar cells via coupled ion source and magnetron discharges,this award supports fundamental research that contributes new knowledge to enable the manufacturing of high efficiency perovskite solar cells promoting the generation and use of clean energy thus advancing national prosperity perovskite solar cells are emerging photovoltaic devices and have recently achieved power conversion efficiencies exceeding percent a critical component of perovskite solar cells is a transparent conductive oxide thin film of about nanometer thickness which acts as the top electrode to collect the photocurrent while allowing light to pass through the perovskite layer underneath the top electrode is heat sensitive and demands room temperature deposition of the transparent conductive film however oxide thin films grown at room temperature by conventional magnetron sputtering the standard industrial technology used for manufacturing thin films have amorphous structures that result in poor electrical conductivity and low optical transmittance this challenge has become a critical barrier limiting the energy conversion efficiencies of perovskite solar cells this project advances the knowledge of plasma discharges to enable ion beam enhanced soft sputtering which permits room temperature growth of highly transparent and conductive oxide thin films that significantly enhance solar cell efficiency and performance the broad use of renewable energy supports a sustainable economy and addresses global environmental concerns this project integrates multidisciplinary research and training activities for graduate and undergraduate students and prepares them for a highly skilled future workforce besides advanced manufacturing the project advances the field of plasma physics this award also supports nsf s ecosystem for leading innovation in plasma science and engineering eclipse program highly transparent and conductive oxide thin films such as indium tin oxide ito have polycrystalline structures that could not be formed under off phase equilibrium conditions at low temperatures in classical physical vapor deposition this research aims to validate the hypothesis that the interactions of an ion beam with the surface atoms are equivalent to localized heating at the atomic scale realizing effective ion atom interactions requires overcoming the scientific barriers to creating a high density soft low energy ion beam that is effectively coupled with magnetron sputtering this research fills the knowledge gap on the energy distributions of the ion beam and the sputtered atoms under the coupled plasma discharges the research team performs self consistent particle in cell monte carlo simulations of the beam plasma source and magnetron sputtering develops a model to elucidate the mutually enhanced ion film and ion target interactions establishes the relationships between the plasma parameters and the resulting film microstructures and properties and demonstrates high efficiency perovskite solar cells this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,432196,432196,Michigan,Michigan State University
8135,2430292,Johns Hopkins University,MD,2025-01-01,2027-12-31,nsf bsf cif small graph machine learning with non canonical symmetries,in many applications data is expressed in terms of graphs e g molecules or social networks and those graphs are typically expressed as matrices or lists of edges and nodes for processing purposes however the representation of a graph as a matrix or list is not unique and the non uniqueness can be expressed as symmetries that machine learning models on graphs should respect namely the predictions of the model on two matrices that represent the same graph should be consistent this is a classical idea and the fundamental concept behind the field of geometric deep learning this project claims that one key factor that determines the computational capabilities of current graph neural networks gnns is the choice of the data representation and its symmetries hence in order to explore new computational capabilities new ways to express graphs are proposed called non canonical representations with new forms of approximate symmetries non canonical symmetries and corresponding approximately symmetry preserving gnns non canonical gnns the design of these non canonical gnns is inspired by applications in social networks spatiotemporal graphs such as traffic networks and graphs arising from complex material design the project includes collaborations with chemical engineers in the application of these models to protein and macromolecule design in addition this project will have an impact on many diversity outreach and educational activities including mentoring baltimore city public high school students and outreach and mentoring efforts targeting groups historically underrepresented in applied mathematics and computer science the project will explore the development of novel non canonical representations symmetries and gnns as well as their applications the research activities are divided into three main tasks the design of a non canonical representation that expresses any graph as a combination of finitely many intersecting cliques or communities the goal is to define a scalable representation and efficient data processing algorithms applications to very large graphs like social networks will be considered the development of a procedure for fitting coarse piecewise constant templates to graphs using the structure of the templates to design non canonical gnns that are sensitive to the large scale structure of the graph this method is expected to shine in domains where sensitivity to large scale is important such as classification of proteins or shapes molecular dynamics and predictions on traffic and power networks the design of methods that exploit symmetries of the graph in the spectral domain the main applications will be molecular dynamics and spatiotemporal graphs this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,568008,568008,Maryland,Johns Hopkins University
49906,1953128,Drexel University,PA,2020-10-01,2025-09-30,expanding the fundamental reactivity of isocyanides,with this award the chemical synthesis program of the nsf division of chemistry is supporting the research of professor fraser fleming of the department of chemistry at drexel university who is developing new ways to make and use a chemical building block called an isocyanide key goals of this project are to prepare more examples of unique types of isocyanides and to increase the number of ways isocyanides are used to form molecules currently there are only seven examples of commercially available isocyanides which limits the number of compounds that can be made with these building blocks this program is creating simple ways to make more isocyanides and to use them to form new desirable molecules for pharmaceutical and material applications professor fleming works with a diverse group of graduate and undergraduate students and is leading student retreats focused on work life balance to ensure that future leaders learn the practices required for high performing leadership in the chemical industry isocyanides are valuable linchpins for assembling heterocycles and peptidomimetics which are privileged structures in material and medicinal applications a major limitation to the implementation of isocyanides for accessing these desirable products is that there are only seven commercially available examples this research program is working expand these systems by designing new reactions that form more complex examples of these important building blocks and increase the types of bond connections that isocyanides can be used to prepare specifically this project is designing methods for alkenyl isocyanides to undergo conjugate addition reactions aryl isocyanides to participate in multicomponent processes to form complex heterocycles and boroalkylisocyanides to be prepared and used in cross coupling reactions to form more complex isocyanide products this research program also serves as an excellent training ground for graduate and undergraduate researchers who are also participating in retreats to hone their work life balance skills and to prepare for future leadership roles in chemistry careers this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,490000,490000,Pennsylvania,Drexel University
44085,2049332,Georgia Tech Research Corporation,GA,2021-08-15,2026-08-31,collaborative research investigating four decades of ross ice shelf subsurface change with historical and modern radar sounding data,this award is funded in whole or in part under the american rescue plan act of public law ice shelves play a critical role in restricting the seaward flow of grounded glacier ice by providing buttressing at their bases and sides processes that affect the long term stability of ice shelves can therefore influence the future contribution of the antarctic ice sheet to global sea level rise the ross ice shelf is the largest ice shelf on earth and it buttresses massive areas of west and east antarctica previous studies of modern ice velocity indicated that the ross ice shelf s mass loss is roughly balanced by its mass gain however more recent work that extends further back in time reveals the ice shelf is likely not in steady state with possible long term thinning since the late s consequently to accurately interpret modern day ice shelf changes long term observations are critical to evaluate how these recent variations fit into the historical context of ice shelf variability this project will examine more than four decades of historical and modern airborne radar sounding observations of the ross ice shelf spanning to to investigate ice shelf changes on decadal timescales the team will process calibrate and analyze radar data collected during field campaigns and compare them against modern observations collected between they will estimate basal melt rates by examining changes in ice shelf thickness and will determine other important metrics for melt including ice shelf roughness englacial temperature and marine ice formation the project will support the education of a ph d student at each of the three participating institutions in addition the project will support the training of undergraduate and high school researchers in radioglaciology and antarctic sciences the project will test the hypothesis that over decadal timescales the basal melt rates beneath the ross ice shelf have been low particularly under shallow ice drafts leading to overall thickening and increased buttressing potential the team aims to provide a direct estimate of basal melt rates based on changes in ice shelf thickness that occurred between and this project will extend similar work completed at thwaites glacier and improve the calibration methods on the vertical scaling for fast time and depth conversion the work will also leverage the dense modern surveys to improve the geolocation of radar film collected on earlier field campaigns to produce a more precise comparison of local shelf thickness with the modern data in addition the team will conduct englacial attenuation analysis to calculate englacial temperature to infer the trends in local basal melting they will also examine the radiometric and scatterometric character of bed echoes at the ice ocean boundary to characterize changes in ice shelf basal roughness marine ice formation related to local basal freezing and structural damage from fracture processes this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,401307,401307,Georgia,Georgia Tech Research Corporation
20870,2320954,"OHIO STATE UNIVERSITY, THE",OH,2023-10-01,2028-09-30,collaborative research scipe interdisciplinary research support community for artificial intelligence and data sciences,research in every field of science and engineering can be accelerated by leveraging modern advancements in artificial intelligence and machine learning ml unfortunately there is a lack of experts to help researchers understand and integrate the latest ml capabilities into their work this proposed project aims to address this critical need for experts by creating and sustaining a cohort of cyberinfrastructure ci professionals cip to empower researchers to effectively leverage ml techniques by embedding the recruited personnel into large research projects while providing tailored mentoring and training programs the project aims to enhance interdisciplinary collaboration and foster innovation this initiative aligns with the national interest of promoting the progress of science and advancing the fields of ci and ml the project s intellectual merit lies in its comprehensive approach to developing long term career development paths for interdisciplinary ci professionals through personalized training mentoring and hands on experience in large research projects the cohort of interdisciplinary research machine learning engineers and interdisciplinary research machine learning facilitators will gain the necessary skills to excel in their roles by creating a mechanism to charge new grants for employing these professionals the project anticipates growth beyond the initial four positions expanding the cohort s capacity to support diverse research domains the project emphasizes the production of impactful research technical papers tutorials and training materials contributing to the broader ml and ci communities furthermore by engaging with non r colleges universities r and minority serving institutions and two year colleges the project aims to foster diversity and inclusivity in the cip workforce ensuring that all institutions can benefit from ai capabilities and ci support the training materials developed will be openly available to support interdisciplinary research across various domains and promote the use of ci resources this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,1499602,1499602,Ohio,"OHIO STATE UNIVERSITY, THE"
15536,2404331,North Carolina State University,NC,2024-07-01,2027-06-30,development of native like peptoid macrodiscs and multidimensional solid state nmr methods for structural studies of membrane proteins,with support from the chemical measurement and imaging program and partial co funding from the chemistry of life processes program in the division of chemistry professor alexander nevzorov and his research group at north carolina state university ncsu are devising new approaches to the characterization of the structure of proteins in cell membranes these proteins regulate a wide variety of cell processes including signaling energy conversion and molecular recognition moreover they are implicated in numerous diseases however the ability to study their structure and function at atomic resolution level in vitro depends on creating an environment closely resembling that of living cells the nevzorov group is designing membrane systems for use with nuclear magnetic resonance nmr spectroscopy the technology behind well known magnetic resonance imaging mri tools in the course of developing both experimental and computational probes the group will provide research opportunities for teachers and laboratory modules suitable for undergraduate and advanced high school courses illuminating the underlying principles the nevzorov research team is developing synthetic techniques for the rational design and characterization of novel peptoid based lipid macrodiscs by a combination of dynamic light scattering dls transmission electron microscopy tem and solid state nmr it is expected that the high uniformity of the detergent free discs will greatly enhance nmr spectroscopic resolution enabled by the discoidal lipid mimetics new solid state nmr experiments are expected to provide previously inaccessible spectroscopic information advancing determination of the structure of membrane proteins this will entail new triple resonance nmr pulse sequences applied to doubly labeled protein samples inclusion of lipid constituents such as cholesterol and sphingolipids will be done so as to create a membrane environment closely mimicking that encountered in the living cells macrodiscs of variable lipid composition will be used to study lipid induced conformational changes for various membrane proteins this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,534974,534974,North Carolina,North Carolina State University
10757,2430257,Saint Augustine's College,NC,2024-09-15,2026-08-31,collaborative research ideas lab advancing research capacity at hbcus in genomics and genetic engineering,this project aims to explore and develop partnerships with leading research institutes both academic and private that are leaders in the areas of plant biology rna biology and workforce development in turn the project has potential to strengthen the research capacity of the four partnering hbcus the project led by howard university includes partnerships with alabama state university saint augustine s college and meharry medical college project activities include a team meeting to restructure the collaborative proposal and its activities interfacing with subject matter experts technical capacity enhancement particularly in plant molecular isolation and analysis with a focus on rna and rna modification mapping and computational analysis and data science for transcriptome and rna modification data analysis the project hypothesizes that noncoding rnas and rna modifications play a key role in mediating the biotic and abiotic stress response in plants the proposed activities and the partnerships associated with them will position the research team to characterize the biotic and abiotic plant stress response researchers will use transcriptomics oxford nanopore sequencing and liquid chromatography followed by mass spectrometry approaches to characterize the transcriptome and rna modification changes during biotic and abiotic stress of plants using arabidopsis tomato and rice and experimental models additionally project researchers will create customized computational pipelines with the help of artificial intelligence to map and curate these changes characterizing the rna based biotic and abiotic plant stress response will inform efforts to subsequently use plant transformation and crispr based recombination to genetically engineer climate resilient crops climate change is a major problem in the st century temperature precipitation and humidity extremes have negative impact on agricultural capacity potentially leading to decreased food security food security is necessary for national health prosperity and military strength for national security these are central aspects for a prosperous society and the nation s competitive standing across the globe creating climate resilient crops is a potential strategy to increase food security and mitigate the deleterious effects of climate change on agricultural capacity to engineer climate resilient crops there must be a full understanding of the ability of plants to respond to environmental stress associated with extreme weather conditions plant resilience however current understanding of plant resilience is limited at the rna level this project aims to characterize the rna based mechanisms of plant resilience and use that information to genetically engineer plants and agricultural crops with increased climate resilience to be able to characterize plant resilience and genetically engineer improved crops the nation must develop an inclusive stem workforce to address this need this project will focus on increasing research capacity and technical capacity to characterize rna and execute genetic engineering of plants through training and education in this research project this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,50000,50000,North Carolina,Saint Augustine's College
51381,2022205,Northeastern University,MA,2020-09-01,2026-08-31,foundations of data science institute,the foundations of data science institute fodsi brings together a large and diverse team of researchers and educators from uc berkeley mit boston university bryn mawr college harvard university howard university and northeastern university with the aim of advancing the theoretical foundations for the field of data science data science has emerged as a central science for the st century a widespread approach to science and technology that exploits the explosion in the availability of data to allow empirical investigations at unprecedented scale and scope it now plays a central role in diverse domains across all of science commerce and industry the development of theoretical foundations for principled approaches to data science is particularly challenging because it requires progress across the full breadth of scientific issues that arise in the rich and complex processes by which data can be used to make decisions these issues include the specification of the goals of data analysis the development of models that aim to capture the way in which data may have arisen the crafting of algorithms that are responsive to the models and goals an understanding of the impact of misspecifications of these models and goals an understanding of the effects of interactions interventions and feedback mechanisms that affect the data and the interpretation of the results concern about the uncertainty of these results an understanding of the impact of other decision makers with competing goals and concern about the economic social and ethical implications of automated data analysis and decision making to address these challenges fodsi brings together experts from many cognate academic disciplines including computer science statistics mathematics electrical engineering and economics institute research outcomes have strong potential to directly impact the many application domains for data science in industry commerce science and society facilitated by mechanisms that directly involve a stream of institute trained personnel in industrial partners projects and by public activities designed to nurture substantive interactions between foundational and use inspired research communities in data science the institute also aims to educate and mentor future leaders in data science through the further development of a pioneering undergraduate program in data science and by training a diverse cohort of graduate students and postdocs with an innovative approach that emphasizes strong mentorship flexibility and breadth of collaboration opportunities in addition the institute plans to host an annual summer school that will deliver core curriculum and a taste of foundational research to a diverse group of advanced undergraduates graduate students and postdocs it aims to broaden participation and increase diversity in the data science workforce bringing the excitement of data science to under represented groups at the high school level and targeting diverse participation in the institute s public activities and it will act as a nexus for research and education in the foundations of data science by convening public events such as summer schools and research workshops and other collaborative research opportunities and by providing models for education human resource development and broadening participation the scientific focus of the institute will encompass the full range of issues that arise in data science modeling issues inferential issues computational issues and societal issues and the challenges that emerge from the conflicts between their competing requirements its research agenda is organized around eight themes three of these themes focus on key challenges arising from the rich variety of interactions between a decision maker and its environment not only the classical view of data that is processed in a batch or a stream but also sequential interactions with feedback the control perspective experimental interactions designed to answer what if questions the causality perspective and strategic interactions involving other actors with conflicting goals the economic perspective the other research themes focus on opportunities for major impacts across disciplinary boundaries on elucidating the algorithmic landscape of statistical problems and in particular the computational complexity of statistical estimation problems on sketching sampling and sub linear time algorithms designed to address issues of scalability in data science problems on exploiting statistical methodology in the service of algorithms and on using breakthroughs in applied mathematics to address computational and inferential challenges intellectual contributions to societal issues in data science will feature throughout this set of themes the institute will exploit strong connections with its scientific and industrial partners to ensure that these research directions enjoy a rich engagement with a broad range of commercial technological and scientific application domains its sequence of research workshops and a collaborative research program will serve the broader research community by nurturing additional research in these key challenge areas the institute will be led by a steering committee that will seek the help of an external advisory board to prioritize its research themes and activities throughout its lifetime its educational programs will include curriculum development from k through undergraduate a graduate level visit program and a postdoc training model aimed at empowering the next generation of leaders to fluidly work across conventional disciplinary boundaries while being mindful of the full set of scientific issues the institute will undertake a multi pronged effort to recruit engage and support the full range of groups traditionally under represented in mathematics computer science and statistics this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,342415,342415,Massachusetts,Northeastern University
19487,2332022,Coppin State University,MD,2023-10-01,2026-09-30,collaborative research epiic hbcu alliance for strategic partnerships for innovation and research enhancement hbcu aspire,this is a collaborative project including the following institutions coppin state university florida memorial university kentucky state university and harris stowe state university the historically black college university alliance for strategic partnerships for innovation and research enhancement hbcu aspire initiative is poised to address and overcome existing infrastructural impediments that hinder research and innovation within historically black colleges and universities hbcus acknowledging the pivotal role of hbcus in nurturing the growth of underrepresented professionals in stem disciplines this endeavor seeks to enhance faculty research capacity and infrastructural support despite the national science foundation nsf data showing hbcus as the source of over of all bachelor s degrees in stem fields earned by african american students these institutions often grapple with the constraints of infrastructural deficiencies and inequitable funding through this pilot the hbcu aspire project aims to substantially fortify the research and innovation proficiencies of aspire institutions thereby fostering a more inclusive and dynamic u s and global economy the hbcu aspire initiative will perform a methodical analysis of the prevailing challenges impeding research and innovation within each hbcu in the cohort utilizing proven practices from the research development enterprise rde the project is designed to bolster the research infrastructure fostering robust partnerships the initiative is committed to fortifying various dimensions such as the office of sponsored research faculty support and training pre and post research award management systems to foster a collaborative efficient and innovative research milieu with an objective to compete for research funding at the national level this project encompasses the institutionalization of best practices in research and innovation furthermore the initiative is designed to generate empirically grounded insights to guide other institutions in their quest for robust research and innovation infrastructures hbcu aspire s commitment to broadening the impact of hbcus on stem research training and workforce development has the potential to foster a more inclusive and innovative global economy this project is supported via co funding from the nsf hbcu excellence in research program this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,400000,400000,Maryland,Coppin State University
55152,2006324,Stanford University,CA,2020-07-15,2025-06-30,collaborative research investigating magmatic differentiation in a fossil upper crustal silicic magma system stillwater range nv,volcanic eruptions involving high silica rhyolite magmas are explosive violent and have high hazard potential yet there remain significant debates as to how these magmas are generated and when and why they erupt understanding the processes and timescales related to these questions is key to developing effective volcanic hazard programs and requires an understanding of how the physical and thermal conditions of a magmatic system change over timescales ranging from days to millions of years efforts focused on monitoring and imaging the subsurface at active volcanoes can provide some of this information but they cannot inform on processes that occur on very long timescales thousands to million years consequently research on systems where both erupted and non erupted portions of the magmatic system are preserved can be used to better understand the entire history of a volcanic system the goal of this project is to study a fossil magmatic system the ixl pluton nevada in an effort to constrain the processes that lead to the generation and possible eruption of high silica rhyolite magma funding will support two graduate and three undergraduate students from purdue university stanford university and the university of nevada reno an additional important outcome of this work will be the production of a student led documentary that will highlight the research with an emphasis on women conducting field based scientific research this will be done through collaboration with the science communication hitchcock project within the reynolds school of journalism at the university of nevada reno and will result in the dissemination of this research to the general public in an engaging fashion most of the proposed mechanisms for production of high silica rhyolite involve its separation from a crystal rich magma reservoir through gravitationally driven processes like crystal settling and compaction importantly both processes should produce vertical geochemical and textural gradients in magma reservoirs the miocene ixl pluton offers an ideal location to document these gradients because it is well exposed in a coherent crustal section with a known paleo vertical orientation to assess whether these gradients are present the pis will utilize high density geochemical measurements coupled with electron back scattered diffraction ebsd textural studies and constrain the timescales over which they occurred using high precision u pb zircon geochronology additionally u pb zircon geochronology diffusion chronometry and geochemical studies will be used to determine whether any of the overlying volcanic rocks are related to the pluton and to assess the magmatic processes that led to their eruption the combination of these techniques will provide a holistic view of silicic magma evolution in the upper crust and can be used to better interpret the geophysical data that is used to assess volcanic hazards at modern volcanoes this award reflects nsf s statutory mission and has been deemed worthy of support through evaluation using the foundation s intellectual merit and broader impacts review criteria,128377,128377,California,Stanford University
