code,fiscal_year,num_grants,state,num_universities,grants_per_university
AK,2020,66,Alaska,5,13.2
AK,2021,64,Alaska,5,12.8
AK,2022,56,Alaska,5,11.2
AK,2023,49,Alaska,5,9.8
AK,2024,42,Alaska,5,8.4
AK,2025,26,Alaska,5,5.2
AL,2020,147,Alabama,32,4.59375
AL,2021,132,Alabama,32,4.125
AL,2022,137,Alabama,32,4.28125
AL,2023,166,Alabama,32,5.1875
AL,2024,170,Alabama,32,5.3125
AL,2025,135,Alabama,32,4.21875
AR,2020,51,Arkansas,23,2.217391304347826
AR,2021,51,Arkansas,23,2.217391304347826
AR,2022,50,Arkansas,23,2.1739130434782608
AR,2023,56,Arkansas,23,2.4347826086956523
AR,2024,54,Arkansas,23,2.347826086956522
AR,2025,41,Arkansas,23,1.7826086956521738
AZ,2020,324,Arizona,20,16.2
AZ,2021,288,Arizona,20,14.4
AZ,2022,278,Arizona,20,13.9
AZ,2023,266,Arizona,20,13.3
AZ,2024,280,Arizona,20,14.0
AZ,2025,191,Arizona,20,9.55
CA,2020,1516,California,165,9.187878787878788
CA,2021,1537,California,165,9.315151515151515
CA,2022,1452,California,165,8.8
CA,2023,1340,California,165,8.121212121212121
CA,2024,1271,California,165,7.703030303030303
CA,2025,1013,California,165,6.13939393939394
CO,2020,372,Colorado,26,14.307692307692308
CO,2021,368,Colorado,26,14.153846153846153
CO,2022,331,Colorado,26,12.73076923076923
CO,2023,327,Colorado,26,12.576923076923077
CO,2024,293,Colorado,26,11.26923076923077
CO,2025,239,Colorado,26,9.192307692307692
CT,2020,191,Connecticut,28,6.821428571428571
CT,2021,159,Connecticut,28,5.678571428571429
CT,2022,157,Connecticut,28,5.607142857142857
CT,2023,134,Connecticut,28,4.785714285714286
CT,2024,138,Connecticut,28,4.928571428571429
CT,2025,126,Connecticut,28,4.5
DE,2020,80,Delaware,5,16.0
DE,2021,73,Delaware,5,14.6
DE,2022,60,Delaware,5,12.0
DE,2023,74,Delaware,5,14.8
DE,2024,70,Delaware,5,14.0
DE,2025,72,Delaware,5,14.4
FL,2020,472,Florida,76,6.2105263157894735
FL,2021,424,Florida,76,5.578947368421052
FL,2022,395,Florida,76,5.197368421052632
FL,2023,419,Florida,76,5.5131578947368425
FL,2024,403,Florida,76,5.302631578947368
FL,2025,313,Florida,76,4.118421052631579
GA,2020,377,Georgia,55,6.8545454545454545
GA,2021,276,Georgia,55,5.0181818181818185
GA,2022,294,Georgia,55,5.345454545454546
GA,2023,362,Georgia,55,6.581818181818182
GA,2024,314,Georgia,55,5.709090909090909
GA,2025,246,Georgia,55,4.472727272727273
HI,2020,72,Hawaii,8,9.0
HI,2021,72,Hawaii,8,9.0
HI,2022,63,Hawaii,8,7.875
HI,2023,69,Hawaii,8,8.625
HI,2024,64,Hawaii,8,8.0
HI,2025,54,Hawaii,8,6.75
IA,2020,127,Iowa,34,3.735294117647059
IA,2021,98,Iowa,34,2.8823529411764706
IA,2022,118,Iowa,34,3.4705882352941178
IA,2023,115,Iowa,34,3.3823529411764706
IA,2024,129,Iowa,34,3.7941176470588234
IA,2025,114,Iowa,34,3.3529411764705883
ID,2020,54,Idaho,8,6.75
ID,2021,47,Idaho,8,5.875
ID,2022,42,Idaho,8,5.25
ID,2023,52,Idaho,8,6.5
ID,2024,58,Idaho,8,7.25
ID,2025,53,Idaho,8,6.625
IL,2020,557,Illinois,74,7.527027027027027
IL,2021,470,Illinois,74,6.351351351351352
IL,2022,443,Illinois,74,5.986486486486487
IL,2023,470,Illinois,74,6.351351351351352
IL,2024,496,Illinois,74,6.702702702702703
IL,2025,370,Illinois,74,5.0
IN,2020,306,Indiana,53,5.773584905660377
IN,2021,316,Indiana,53,5.962264150943396
IN,2022,325,Indiana,53,6.132075471698113
IN,2023,293,Indiana,53,5.528301886792453
IN,2024,308,Indiana,53,5.811320754716981
IN,2025,252,Indiana,53,4.754716981132075
KS,2020,102,Kansas,29,3.5172413793103448
KS,2021,68,Kansas,29,2.3448275862068964
KS,2022,74,Kansas,29,2.5517241379310347
KS,2023,86,Kansas,29,2.9655172413793105
KS,2024,88,Kansas,29,3.0344827586206895
KS,2025,53,Kansas,29,1.8275862068965518
KY,2020,72,Kentucky,29,2.4827586206896552
KY,2021,70,Kentucky,29,2.413793103448276
KY,2022,75,Kentucky,29,2.586206896551724
KY,2023,58,Kentucky,29,2.0
KY,2024,82,Kentucky,29,2.8275862068965516
KY,2025,77,Kentucky,29,2.6551724137931036
LA,2020,112,Louisiana,27,4.148148148148148
LA,2021,121,Louisiana,27,4.481481481481482
LA,2022,121,Louisiana,27,4.481481481481482
LA,2023,83,Louisiana,27,3.074074074074074
LA,2024,142,Louisiana,27,5.2592592592592595
LA,2025,107,Louisiana,27,3.962962962962963
MA,2020,849,Massachusetts,74,11.472972972972974
MA,2021,784,Massachusetts,74,10.594594594594595
MA,2022,735,Massachusetts,74,9.932432432432432
MA,2023,732,Massachusetts,74,9.891891891891891
MA,2024,733,Massachusetts,74,9.905405405405405
MA,2025,533,Massachusetts,74,7.202702702702703
MD,2020,336,Maryland,33,10.181818181818182
MD,2021,285,Maryland,33,8.636363636363637
MD,2022,276,Maryland,33,8.363636363636363
MD,2023,300,Maryland,33,9.090909090909092
MD,2024,272,Maryland,33,8.242424242424242
MD,2025,222,Maryland,33,6.7272727272727275
ME,2020,46,Maine,17,2.7058823529411766
ME,2021,49,Maine,17,2.8823529411764706
ME,2022,49,Maine,17,2.8823529411764706
ME,2023,47,Maine,17,2.764705882352941
ME,2024,54,Maine,17,3.176470588235294
ME,2025,39,Maine,17,2.2941176470588234
MI,2020,433,Michigan,48,9.020833333333334
