code,fiscal_year,num_grants,state,state_total
AK,2020,66,Alaska,303
AK,2021,64,Alaska,303
AK,2022,56,Alaska,303
AK,2023,49,Alaska,303
AK,2024,42,Alaska,303
AK,2025,26,Alaska,303
AL,2020,147,Alabama,887
AL,2021,132,Alabama,887
AL,2022,137,Alabama,887
AL,2023,166,Alabama,887
AL,2024,170,Alabama,887
AL,2025,135,Alabama,887
AR,2020,51,Arkansas,303
AR,2021,51,Arkansas,303
AR,2022,50,Arkansas,303
AR,2023,56,Arkansas,303
AR,2024,54,Arkansas,303
AR,2025,41,Arkansas,303
AZ,2020,324,Arizona,1627
AZ,2021,288,Arizona,1627
AZ,2022,278,Arizona,1627
AZ,2023,266,Arizona,1627
AZ,2024,280,Arizona,1627
AZ,2025,191,Arizona,1627
CA,2020,1516,California,8129
CA,2021,1537,California,8129
CA,2022,1452,California,8129
CA,2023,1340,California,8129
CA,2024,1271,California,8129
CA,2025,1013,California,8129
CO,2020,372,Colorado,1930
CO,2021,368,Colorado,1930
CO,2022,331,Colorado,1930
CO,2023,327,Colorado,1930
CO,2024,293,Colorado,1930
CO,2025,239,Colorado,1930
CT,2020,191,Connecticut,905
CT,2021,159,Connecticut,905
CT,2022,157,Connecticut,905
CT,2023,134,Connecticut,905
CT,2024,138,Connecticut,905
CT,2025,126,Connecticut,905
DE,2020,80,Delaware,429
DE,2021,73,Delaware,429
DE,2022,60,Delaware,429
DE,2023,74,Delaware,429
DE,2024,70,Delaware,429
DE,2025,72,Delaware,429
FL,2020,472,Florida,2426
FL,2021,424,Florida,2426
FL,2022,395,Florida,2426
FL,2023,419,Florida,2426
FL,2024,403,Florida,2426
FL,2025,313,Florida,2426
GA,2020,377,Georgia,1869
GA,2021,276,Georgia,1869
GA,2022,294,Georgia,1869
GA,2023,362,Georgia,1869
GA,2024,314,Georgia,1869
GA,2025,246,Georgia,1869
HI,2020,72,Hawaii,394
HI,2021,72,Hawaii,394
HI,2022,63,Hawaii,394
HI,2023,69,Hawaii,394
HI,2024,64,Hawaii,394
HI,2025,54,Hawaii,394
IA,2020,127,Iowa,701
IA,2021,98,Iowa,701
IA,2022,118,Iowa,701
IA,2023,115,Iowa,701
IA,2024,129,Iowa,701
IA,2025,114,Iowa,701
ID,2020,54,Idaho,306
ID,2021,47,Idaho,306
ID,2022,42,Idaho,306
ID,2023,52,Idaho,306
ID,2024,58,Idaho,306
ID,2025,53,Idaho,306
IL,2020,557,Illinois,2806
IL,2021,470,Illinois,2806
IL,2022,443,Illinois,2806
IL,2023,470,Illinois,2806
IL,2024,496,Illinois,2806
IL,2025,370,Illinois,2806
IN,2020,306,Indiana,1800
IN,2021,316,Indiana,1800
