code,state,row,col
AK,Alaska,1,3
WA,Washington,3,3
OR,Oregon,4,3
CA,California,5,3
HI,Hawaii,8,3
ID,Idaho,3,4
NV,Nevada,4,4
UT,Utah,5,4
AZ,Arizona,6,4
MT,Montana,3,5
WY,Wyoming,4,5
CO,Colorado,5,5
NM,New Mexico,6,5
ND,North Dakota,3,6
SD,South Dakota,4,6
NE,Nebraska,5,6
KS,Kansas,6,6
OK,Oklahoma,7,6
TX,Texas,8,6
MN,Minnesota,3,7
IA,Iowa,4,7
MO,Missouri,5,7
AR,Arkansas,6,7
LA,Louisiana,7,7
WI,Wisconsin,2,8
IL,Illinois,3,8
IN,Indiana,4,8
KY,Kentucky,5,8
TN,Tennessee,6,8
MS,Mississippi,7,8
MI,Michigan,3,9
OH,Ohio,4,9
WV,West Virginia,5,9
NC,North Carolina,6,9
AL,Alabama,7,9
PA,Pennsylvania,4,10
VA,Virginia,5,10
SC,South Carolina,6,10
GA,Georgia,7,10
NY,New York,3,11
NJ,New Jersey,4,11
MD,Maryland,5,11
FL,Florida,8,11
VT,Vermont,2,12
MA,Massachusetts,3,12
CT,Connecticut,4,12
DE,Delaware,5,12
ME,Maine,1,13
NH,New Hampshire,2,13
RI,Rhode Island,4,13
