code,fiscal_year,num_terminated
AK,2022,1
AK,2023,1
AK,2024,2
AL,2021,2
AL,2022,3
AL,2023,5
AL,2024,8
AR,2020,2
AR,2021,3
AR,2023,2
AR,2024,1
AZ,2021,4
AZ,2022,11
AZ,2023,7
AZ,2024,15
AZ,2025,1
CA,2020,16
CA,2021,51
CA,2022,116
CA,2023,112
CA,2024,122
CA,2025,28
CO,2021,7
CO,2022,23
CO,2023,6
CO,2024,14
CO,2025,1
CT,2020,1
CT,2021,2
CT,2022,4
CT,2023,5
CT,2024,4
DE,2021,1
DE,2022,1
DE,2023,1
DE,2024,1
FL,2020,2
FL,2021,7
FL,2022,17
FL,2023,19
FL,2024,10
FL,2025,2
GA,2020,3
GA,2021,6
GA,2022,16
GA,2023,15
GA,2024,11
HI,2021,2
HI,2022,5
HI,2023,2
HI,2024,2
IA,2021,1
IA,2022,2
IA,2023,1
IA,2024,2
ID,2020,1
ID,2021,1
ID,2022,2
ID,2024,4
IL,2021,8
IL,2022,5
IL,2023,17
IL,2024,24
IL,2025,1
IN,2021,3
IN,2022,6
IN,2023,8
IN,2024,7
KS,2022,1
KS,2023,2
KS,2024,3
KY,2020,1
KY,2021,1
KY,2022,2
KY,2023,1
KY,2024,1
KY,2025,2
LA,2021,1
LA,2022,4
LA,2023,4
LA,2024,6
MA,2020,14
MA,2021,32
MA,2022,58
MA,2023,70
MA,2024,62
MA,2025,13
MD,2020,1
MD,2021,7
MD,2022,13
MD,2023,13
MD,2024,10
ME,2024,1
MI,2020,5
MI,2021,8
MI,2022,11
MI,2023,14
MI,2024,15
MN,2021,2
MN,2022,8
MN,2023,3
MN,2024,8
MN,2025,1
MO,2020,2
MO,2021,3
MO,2022,1
MO,2023,6
MO,2024,6
MS,2021,3
MS,2022,1
MS,2023,5
MS,2024,4
MT,2021,1
MT,2024,1
NC,2020,3
NC,2021,15
NC,2022,11
NC,2023,9
NC,2024,13
ND,2020,2
ND,2021,1
ND,2024,2
NE,2022,1
NE,2023,3
NE,2024,6
NH,2023,2
NJ,2020,1
NJ,2021,2
NJ,2022,3
NJ,2023,5
NJ,2024,10
NJ,2025,1
NM,2020,1
NM,2021,4
NM,2022,4
NM,2023,5
NM,2024,5
NV,2021,1
NV,2022,1
NV,2023,5
NV,2024,1
NY,2021,14
NY,2022,17
NY,2023,30
NY,2024,32
NY,2025,2
OH,2020,2
OH,2021,2
OH,2022,8
OH,2023,9
OH,2024,8
OK,2022,3
OK,2023,2
OK,2024,1
OR,2021,6
OR,2022,1
OR,2023,4
OR,2024,4
PA,2020,1
PA,2021,12
PA,2022,13
PA,2023,15
PA,2024,13
RI,2021,2
RI,2022,2
RI,2023,3
RI,2024,7
SC,2022,1
SC,2023,4
SC,2024,1
SD,2021,1
TN,2020,1
TN,2021,5
TN,2022,1
TN,2023,5
TN,2024,6
TN,2025,1
TX,2020,6
TX,2021,19
TX,2022,30
TX,2023,30
TX,2024,27
TX,2025,3
UT,2021,6
UT,2022,2
UT,2023,5
VA,2020,2
VA,2021,6
VA,2022,6
VA,2023,24
VA,2024,18
VT,2025,1
WA,2020,1
WA,2021,5
WA,2022,9
WA,2023,13
WA,2024,14
WA,2025,1
WI,2021,6
WI,2022,4
WI,2023,3
WI,2024,7
WV,2024,1
WY,2023,1
