inst_name,code,num_grants,state
"123 SEE, INC.",MA,2,Massachusetts
"1442 S. FALLON STREET, LLC",PA,1,Pennsylvania
2INNOVATE LLC,MI,1,Michigan
"2KR SYSTEMS, LLC",NH,2,New Hampshire
2PI INC.,MA,1,Massachusetts
2WITECH SOLUTIONS LLC,MA,1,Massachusetts
"37DEGREES, INC.",IL,1,Illinois
3D MICROFLUIDICS LLC,NY,1,New York
3DFortify Inc.,MA,1,Massachusetts
"3FATES-XRAY, INC.",CA,1,California
"3I Diagnostics, Inc.",MD,1,Maryland
"3VO MEDICAL, INC",CA,1,California
"4-D AVIONIC SYSTEMS, LLC",KS,2,Kansas
"42BIO, LLC",FL,1,Florida
"4thought Technologies, Inc.",NY,1,New York
A CUBED DESIGN LLC,IL,1,Illinois
"A-Alpha Bio, Inc.",WA,2,Washington
AALMV INC.,FL,2,Florida
AAVSO,MA,2,Massachusetts
ABBERIT LLC,WA,1,Washington
"ABSCO THERAPEUTICS, INC.",MA,1,Massachusetts
"ABSTRACTIVE HEALTH, INC.",NY,2,New York
"ACADEMIC WEB PAGES, INC.",NJ,1,New Jersey
"ACATECHOL, INC.",CA,2,California
ACLARITY INC.,MA,1,Massachusetts
"ACRIGEN BIOSCIENCES, INC.",CA,2,California
"ACROSS AI, INC",CA,1,California
"ACTIVATE GLOBAL, INC.",CA,2,California
ACTIVECHARGE LLC,MD,1,Maryland
ACTUALIZATION AI LLC,FL,1,Florida
ADA TECH LLC,MA,1,Massachusetts
ADAPTIVE WAVES INC.,MA,1,Massachusetts
ADAVANCE NANOLYTICS INC,TX,1,Texas
ADAXIUS CORP,MI,1,Michigan
ADDEN ENERGY INC,MA,1,Massachusetts
"ADEPT MATERIALS, INC",RI,2,Rhode Island
ADIALANTE L.L.C.,MN,2,Minnesota
ADVANCED CARPET RECYCLING LLC,TX,1,Texas
ADVANCED GROWING RESOURCES INC.,NY,2,New York
"ADVANCED REGENERATIVE MANUFACTURING INSTITUTE, INC.",NH,1,New Hampshire
"ADVANCED REMOTE SENSING, INC.",SD,1,South Dakota
ADVENT Diamond,AZ,1,Arizona
ADVISORY AEROSPACE OSC LLC,MN,2,Minnesota
"AEON SCIENCES, LLC",WV,1,West Virginia
AEPNUS TECHNOLOGY INC,CA,1,California
"AERHART, LLC",CA,1,California
"AERIS WATER TECHNOLOGIES, LLC",GA,1,Georgia
AEROMUTABLE CORPORATION,CA,2,California
"AEROSENS, LLC",FL,1,Florida
"AEROSHIELD MATERIALS, INC.",MA,2,Massachusetts
"AESIR TECHNOLOGIES, INC.",MO,1,Missouri
AFFECTIFI INC.,NY,1,New York
AFFERENCE INC,CO,1,Colorado
"AG350, INC.",NJ,1,New Jersey
"AGIL THERAPEUTICS, INC.",CA,1,California
AGRAFILMS INC,WI,1,Wisconsin
AGTEC INNOVATIONS INC,CA,1,California
AI ACUITY,CA,1,California
AI LINEAR INC.,CA,2,California
"AI METRICS, LLC",AL,1,Alabama
AI POW LLC,TX,2,Texas
AI SENSE LLC,MD,1,Maryland
AI-NEOTECH LLC,FL,1,Florida
"AI-RIS, LLC",TX,1,Texas
"AIDAR HEALTH, INC",MD,2,Maryland
AIFLY VENTURES,CA,1,California
AIKIDO TECHNOLOGIES INC,CA,1,California
"AIR COMPANY HOLDINGS, INC.",NY,2,New York
"AIR FORCE, UNITED STATES DEPARTMENT OF THE",CA,1,California
"AIRITY TECHNOLOGIES, INC.",CA,1,California
"AIRMETTLE, INC.",TX,1,Texas
AIROMATIX INC.,OR,1,Oregon
"AKORN TECHNOLOGY, INC.",CA,2,California
AKROBOTIX LLC,NY,1,New York
"AKTTYVA THERAPEUTICS, INC.",MA,2,Massachusetts
"AL-POWER, INC.",LA,1,Louisiana
ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College,TX,3,Texas
ALASKA CONSERVATION FOUNDATION,AK,1,Alaska
ALCHEMY COATINGS INC,OR,1,Oregon
"ALERJE, INC.",MI,2,Michigan
ALGOFACE INC,AZ,1,Arizona
ALIENBYTE SCIENTIFIC SOFTWARE INC,MD,1,Maryland
"ALIRO TECHNOLOGIES, INC.",MA,1,Massachusetts
ALL-IN PEPPERS AND SPECIALTY PRODUCE LLC,WI,1,Wisconsin
"ALLBEAMS, INC.",FL,1,Florida
"ALLIUM ENGINEERING, INC",MA,1,Massachusetts
ALLOY ENTERPRISES INC.,MA,2,Massachusetts
"ALSUS MEDICAL, INC.",CA,1,California
"ALTAY THERAPEUTICS, INC.",CA,1,California
"ALTECT, INC.",TX,1,Texas
"ALTERNATIVE ENERGY MATERIALS, LLC",WA,1,Washington
"ALTYX SURGICAL, INC.",IL,2,Illinois
ALUMINIO INC.,CA,1,California
"ALVA HEALTH, INC.",TX,1,Texas
"AM BATTERIES, Inc.",MA,1,Massachusetts
"AMBOTS, INC.",AR,1,Arkansas
"AMCYT, INC.",CA,1,California
AMERICAN MAGNET CO LLC,FL,1,Florida
AMERICAN PRIME SUSTAINABLE SOLUTIONS LLC,OK,1,Oklahoma
AMHYTECH LLC,MI,1,Michigan
AMIE HEALTH INC.,CO,1,Colorado
"AMPHIX BIO, INC.",IL,2,Illinois
AMRF LLC,CA,1,California
"ANCILIA, INC.",NY,1,New York
ANELLO PHOTONICS INC.,CA,1,California
"ANEURISK, INC.",PA,1,Pennsylvania
ANGEL CAPITAL ASSOCIATION,KS,1,Kansas
"ANGIOINSIGHT, INC.",MI,1,Michigan
ANKYRBIO LLC,PA,1,Pennsylvania
"ANOVA BIOMEDICAL, INC.",NY,1,New York
ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,CA,1,California
ANVIL DIAGNOSTICS INC.,MA,1,Massachusetts
"ANYGLABS, INC.",CA,2,California
APERTUREDATA INC.,CA,1,California
"APEXQUANTUM, INC.",MD,1,Maryland
"APOGEE SEMICONDUCTOR, INC.",TX,2,Texas
APPLIED IMPULSE INC.,OH,1,Ohio
"APPLIED OCEAN SCIENCES, LLC",VA,2,Virginia
"APPLIED RESEARCH TEAM, INC.",CO,1,Colorado
APPLIED SCIENCE & TECHNOLOGY ORGANIZATION OF AMERICA CORP,IL,1,Illinois
APPLIED SENTIENCE INC.,CA,1,California
AQUA SCIENCE LLC,DE,2,Delaware
"AQUAGENX, LLC",NC,1,North Carolina
"AQUAGGA, INC.",WA,2,Washington
"AQUAPAO, INC.",NJ,1,New Jersey
"AQUAVEO, LLC",UT,1,Utah
